Unnamed: 0,File?,Data ,sender_known_malicios,sender_domain_reputation_score(float),sender_spoof_detected(bool),sender_temp_email_likelihood(float),dmarc_enforced(bool),packer_detected(bool),any_file_hash_malicious(bool),max_metadata_suspicious_score(float),malicious_attachment_Count(int),has_executable_attachment(bool),unscannable_attachment_present(bool),Authentication & Identity Assurance,total_yara_match_count(int),total_ioc_count(int),max_behavioral_sandbox_score(float),max_amsi_suspicion_score(float),any_macro_enabled_document(bool),any_vbscript_javascript_detected(bool),any_active_x_objects_detected(bool),any_network_call_on_open(bool),max_exfiltration_behavior_score(float),any_exploit_pattern_detected(bool),total_embedded_file_count(int),max_suspicious_string_entropy_score(float),max_sandbox_execution_time(float),unique_parent_process_names(categorical),return_path_mismatch_with_from(bool),return_path_known_malicious(bool),return_path_reputation_score(float),reply_path_known_malicious(bool),reply_path_diff_from_sender(bool),reply_path_reputation_Score(float),smtp_ip_known_malicious(bool),smtp_ip_geo(Float),smtp_ip_asn(categorical),smtp_ip_reputation_score(float),domain_known_malicious(bool),url_Count(int),dna_morphing_detected(bool),domain_tech_stack_match_score(float),is_high_risk_role_targeted(bool),sender_name_similarity_to_vip(float),urgency_keywords_present(bool),request_type(categorical),content_spam_score(float),user_marked_as_spam_before(bool),bulk_message_indicator(bool),unsubscribe_link_present(bool),marketing-keywords_detected(bool),html_text_ratio(float),image_only_email(bool),spf_result(enum),dkim_result(enum),dmarc_result(enum),reverse_dns_valid(bool),tls_version(ctegorical),total_links_detected(int),url_shortener_detected(bool),url_redirect_chain_length(int),final_url_known_malicious(bool),url_decoded_spoof_detected(bool),url_reputation_score(float),ssl_validity_status(enum),site_visual_similarity_to_known_brand(float),url_rendering_behavior_score(float),link_rewritten_through_redirector(bool),token_validation_success(bool),Analysis_of_the_qrcode_if_present(verdict-malicious or non-malicious)
1360,1.0,D80,0,0.0103549965696633,0,0.0573464427785311,0,0,0,0.2392258082502968,0,0,0,0,0,9,0.0004180904102679,5.145845954044764e-06,0,0,0,0,0.4007194739943807,0,0,4,7.958546523184049e-36,"[""excel.exe""]",0,0,2.4538111329982665e-05,1,0,0.000328477089122,0,0.0017540207016271,0.000520561177371,2.90096787089066e-06,0,0,0,0.5,0,4.678276332981192e-05,0,none,0.0004775452007952,0,0,0,0,0.0,0,fail,pass,pass,1,TLS 1.1,3,0,0,0,0,3.38444901460726e-16,valid,0.0384247705900416,0.0176141946148348,0,1,0
1361,1.0,D81,0,0.3382770471210463,0,0.0052497197603968,0,0,0,0.0825671865572972,0,1,0,0,0,0,0.0038880894813941,0.2949715709476112,0,0,0,0,0.681671737085968,0,0,4,3.93300307615595e-08,"[""winword.exe"", ""powershell.exe""]",0,0,5.795185325426405e-06,0,0,0.0296613054941188,0,0.0082607159135491,0.0322373697533778,0.2381707767877439,0,0,0,0.5,0,5.463377399559119e-10,0,none,0.0002264174332207,0,0,0,0,0.0,0,pass,policy,none,1,TLS 1.1,0,0,0,0,0,0.2811822066032148,expired,3.9035462908829474e-08,0.0890600224870676,0,1,0
1362,0.0,D82,0,6.257302764641613e-06,0,0.0006493368073766,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,1,0.0549103725472348,0,0,0.0014292692388441,0,0.0074715530116633,0.5750307143542781,0.0630870090759749,0,0,0,1.0,0,6.139145716437784e-06,0,invoice_verification,9.84931367708599e-07,0,0,0,0,0.0,0,fail,fail,none,1,TLS 1.3,1,0,0,0,0,5.911654483026343e-07,self signed,0.0355681265265184,4.119717628599288e-06,0,1,0
1363,1.0,D83,0,0.1282759992410559,0,0.0034397766582243,0,0,0,0.0140700200007301,0,0,0,0,0,0,2.964475591727497e-06,0.059339568877016,0,0,1,0,0.8925352249761644,0,1,5,1.833043676039031e-40,"[""winword.exe"", ""powershell.exe""]",0,0,0.0064860100036432,0,0,2.0714554398342367e-05,0,1.6748005990318364e-06,0.1555585745726526,0.035827440378985,0,0,0,1.0,0,0.4904903093889922,0,none,0.0004542482574989,0,0,0,0,0.0,0,pass,fail,none,1,TLS 1.2,0,0,0,0,0,0.0675577503233735,valid,0.0733558392057515,0.0004862320742035,0,1,0
1364,1.0,D84,0,5.028273290534161e-05,0,2.343964102441289e-05,0,0,0,0.132474217292988,0,0,0,0,0,0,0.609232486320447,0.00014523693111,0,0,0,0,0.2149411211514235,0,0,4,1.4753829423149931e-40,"[""winword.exe"", ""powershell.exe"", ""regsvr32.exe""]",0,0,0.2328126385994171,0,0,1.7785617081894373e-12,0,0.2553013499577219,0.0249180801618725,0.0006296563052112,0,0,1,1.0,0,0.0483288053083346,0,none,0.912357442350046,0,0,0,0,0.0,0,pass,pass,fail,1,TLS 1.2,0,0,0,0,0,1.6547534906719746e-06,valid,0.1222464281606081,0.0023700580803164,0,1,0
1365,0.0,D85,0,0.4409032596009207,0,7.3445956208792975e-09,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0009809760534106,0,0,0.0003004555617,0,9.11068413523921e-05,0.0069646492067483,0.3523970971474542,0,0,0,0.0,0,0.2518646319572602,0,wire_transfer,2.4745942967583605e-11,0,0,0,0,0.0,0,fail,permerror,none,1,TLS 1.1,1,0,0,0,0,6.539914073542031e-11,mismatch,0.008500741937982,0.1154667807710433,0,1,0
1366,0.0,D86,0,0.0042189814279394,0,7.561857088855958e-07,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0094904387019524,0,0,7.69502872333945e-07,0,8.590632758184034e-06,0.0028785867536495,0.0657910916052297,0,0,0,1.0,0,0.3361840511361256,0,none,6.588882550089299e-07,0,0,0,0,0.0,0,pass,policy,fail,1,TLS 1.2,0,0,0,0,0,5.1894120353779636e-08,valid,0.0002611171396002,5.886189465648849e-12,0,1,0
1367,0.0,D87,1,1.5993979133431506e-07,0,0.7973155250540813,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,4.493137750321456e-11,0,0,0.0815385767493177,0,0.2695966071400598,0.1145111359325198,0.0145862089211794,0,0,0,1.0,0,0.0012083553513514,0,none,0.0098650393344927,0,0,0,0,0.0,0,pass,pass,none,1,TLS 1.2,4,0,0,0,0,0.0015711009405122,valid,0.1274300555400606,0.0144963105552027,0,1,0
1368,0.0,D88,0,0.0001372855685455,0,3.2426063057162217e-13,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0002240614594201,0,0,1.7800828121240265e-07,0,0.6301415448438007,0.2158243043312949,0.3577499428090856,0,0,0,0.5,0,1.8732324402170615e-07,0,none,0.6929431847328168,0,0,0,0,1.1,0,pass,policy,fail,1,TLS 1.3,0,1,0,0,0,0.3222436821087969,valid,0.0007283188804728,1.880412222054599e-12,0,1,0
1369,0.0,D89,0,0.8708957874876783,0,0.0977298464845265,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,3.818240231859685e-13,0,0,0.0001270605592696,0,2.844139280720192e-06,4.468831605006845e-06,0.0205357635025554,0,0,0,0.5,0,0.8587723214026148,0,gift_card_request,0.0094717057622019,0,0,0,0,0.0,0,pass,pass,pass,1,TLS 1.3,1,0,0,0,0,0.3273835641557366,valid,0.0005616456709703,1.3889771117608874e-07,0,1,0
1370,1.0,D90,0,3.985573724844292e-05,0,7.06453609251569e-05,0,0,0,0.9527123726185638,0,0,1,0,3,0,0.4420940009299111,8.091346279151213e-06,0,0,0,0,0.0880844379930746,0,0,6,8.705572711678361e-11,"[""winword.exe""]",0,0,1.6677762306546744e-05,0,0,4.6949260871673954e-05,0,0.0142217149384379,0.00031565913591,0.0001683634268805,0,0,1,0.5,0,0.1140403101629745,0,wire_transfer,0.018919527227578,0,0,0,0,0.0,0,pass,none,pass,1,TLS 1.3,2,0,0,0,0,6.479776096107406e-16,valid,4.4682848071420336e-06,0.0771808627180385,0,1,0
1371,1.0,D91,0,1.0353411931075318e-21,0,9.934443220145316e-11,0,0,0,0.0002299420814082,0,0,0,0,0,0,1.1007761889458349e-12,0.0197208833704549,0,1,0,0,0.4805082002211811,0,0,4,1.6673732280967824e-46,"[""winword.exe""]",0,0,3.814755519038328e-06,0,0,2.578030001350266e-06,0,0.0046311141341996,0.3151494465609875,0.0006958483102972,0,0,0,0.0,0,1.0795494067704774e-05,0,document_download,0.0014263114943838,0,0,0,0,0.0,0,pass,fail,pass,1,TLS 1.1,0,0,0,0,0,1.140091901732516e-16,valid,0.3332951850007035,0.0010557612996328,0,1,0
1372,0.0,D92,0,5.188497992120471e-07,0,4.100887579751171e-06,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0057679410465945,0,0,0.0018311302008396,0,0.0021962913614413,0.0029145782092762,9.95933509710592e-05,0,0,0,1.0,0,0.0215146372151983,0,none,0.0184968057739485,0,0,0,0,0.0,0,fail,none,fail,1,TLS 1.3,0,0,0,0,0,0.0483791332506526,valid,8.653885039962697e-09,9.395727567557868e-09,0,1,0
1373,0.0,D93,0,6.1261609907873376e-18,0,4.03685469747005e-07,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,1.796962704478513e-15,0,0,6.728934948852588e-07,0,1.6022091610044355e-09,0.9850260227444222,0.5401907503681699,0,0,0,1.0,0,0.010760296184486,0,sensitive_data_request,4.937478492694963e-09,0,0,0,0,0.0,0,fail,fail,temperror,1,TLS 1.1,0,0,0,0,0,0.0201609996485687,valid,0.2657006814384439,0.1023109416964676,0,1,0
1374,1.0,D94,0,0.0092593417490959,0,0.1085750365363326,0,1,0,0.0001935603096813,0,0,0,0,0,0,0.3037645689565337,0.1525685417620954,0,0,0,0,0.9799068785673284,0,0,5,2.099093624078203e-13,"[""winword.exe""]",0,0,1.7034100661167774e-11,0,0,0.001638575139249,0,0.1376011892289038,0.1211408803111368,1.79187423254087e-05,0,0,0,1.0,0,0.178262715057603,0,meeting_request,0.003735519198915,0,0,0,0,0.0,0,softfail,none,temperror,1,TLS 1.0,2,0,0,0,0,0.0007344728820403,valid,0.0211995578918852,5.324663076645279e-05,0,1,0
1375,1.0,D95,0,0.0055993465532681,0,0.0005105133890941,0,0,0,0.3032047288927411,0,0,0,0,0,0,0.0694354431261393,0.4936289435493141,0,0,0,0,0.9034383632860508,0,0,5,1.1126763958207928e-66,"[""winword.exe""]",0,0,1.2511141169800065e-08,0,0,0.2038653473559164,0,0.0007049209732109,0.3748322335525173,0.0115651415759985,0,0,0,0.5,0,9.682410299425351e-10,0,none,3.767089412979832e-05,0,0,0,0,0.0,0,pass,policy,none,1,TLS 1.3,0,0,0,0,0,1.1566357625855282e-06,valid,0.2160170830424845,0.0242700643742276,0,1,1
1376,0.0,D96,0,0.1088477935424043,0,4.007231150909311e-05,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0001369879544532,0,0,0.0422891629481927,0,0.0007645074828304,5.027669887995139e-08,0.0563556448822315,0,0,0,1.0,0,0.0164629903928127,0,none,1.663590486208793e-06,0,0,1,0,0.0,0,pass,neutral,temperror,1,TLS 1.2,0,0,0,0,0,2.719740557386814e-05,expired,0.0104740612996938,0.0093504568813161,0,1,0
1377,1.0,D97,0,4.284035117563152e-05,0,8.799857851390833e-05,0,0,0,0.1365407799622325,0,0,0,0,0,0,0.5969792236264483,0.0006450118394126,0,0,0,0,0.3637630870923127,0,0,5,1.9915046139484725e-15,"[""outlook.exe""]",0,0,0.0098909849304352,0,0,7.474064899519339e-06,0,0.486864333567117,0.0002814035645804,9.212050578667004e-05,0,0,0,1.0,0,8.784378027811782e-11,0,legal_threat,0.5085336812262338,0,0,0,0,0.0,0,pass,none,none,1,SSL,0,0,0,0,0,0.0080300696223029,valid,1.452460932505302e-05,3.765088045280227e-05,1,1,0
1378,1.0,D98,0,8.758590445433278e-05,0,0.1080684427289451,0,0,0,0.2605510057381505,0,0,0,0,0,0,0.0001234778580603,0.0480449338272695,0,0,0,0,0.736967324260137,0,0,7,1.161945998841921e-20,"[""acrobat.exe""]",0,0,0.0003646409164973,0,0,0.6407249687736205,0,2.1288180203385424e-05,0.0246743319941865,0.0001056752548595,0,0,0,1.0,0,7.626084817465283e-05,0,link_click,0.0012229053279475,0,0,0,0,0.0,0,pass,none,pass,1,TLS 1.1,0,0,0,0,0,0.0011963461723476,valid,0.3542056984941632,0.7711276991470059,0,1,0
1379,0.0,D99,0,0.0078627656480798,0,0.1645039122632027,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.1004142123369156,0,0,0.2118446675922987,0,0.0080875121063669,0.740007596661966,0.0357412674171675,0,0,0,1.0,0,5.4752934380141405e-15,0,bank_detail_update,0.4182234415683772,0,0,0,0,0.0,0,pass,fail,fail,1,TLS 1.2,0,0,0,0,0,0.0050985966282933,valid,7.110018951661237e-05,0.0297434460198617,0,0,0
1380,1.0,D100,0,1.3044899105317038e-05,0,0.0074464693349501,0,0,1,0.0085969267346045,0,0,0,0,0,0,1.515333977062072e-06,0.0002406478656111,0,1,0,0,0.4878782928179813,1,1,7,8.489669684970735e-36,"[""winword.exe"", ""powershell.exe""]",0,0,0.0335668392018055,0,0,0.0030350388896238,0,9.583417091133024e-17,0.0062815586836325,0.9961045143593033,0,0,0,0.5,0,0.0007511933461517,0,vpn_or_mfa_reset,0.0043080097019477,0,0,0,0,0.0,0,fail,none,fail,1,TLS 1.1,0,0,0,0,0,5.790824540899219e-14,valid,0.0092784363909653,0.0713395572212998,0,1,0
1381,1.0,D100,0,6.664503516496452e-05,0,4.636804650741964e-16,0,0,0,0.3391996905425823,0,0,0,0,0,0,0.1092637922660278,0.0153034520666986,0,0,0,0,0.5516742956714076,0,0,4,217.64571235042928,"[""winword.exe"", ""powershell.exe""]",0,0,4.28627341626749e-06,0,0,3.011154378194092e-07,0,5.516843783810298e-06,0.0010112534883823,7.804924407913379e-07,0,0,0,1.0,0,1.2177620345992257e-07,0,vpn_or_mfa_reset,0.0298643763764632,0,0,0,0,1.1,0,pass,policy,fail,1,TLS 1.2,3,0,0,0,0,0.1537007487789285,valid,6.296216509040032e-09,0.0030832269951028,0,1,0
1382,1.0,D81,0,0.0368256382972048,0,0.0514991040154286,0,0,0,0.0009328593889543,0,0,0,0,6,0,0.000345121778074,0.0003754476897025,0,0,0,1,0.1107435503564349,0,2,7,5.884427596038369e-81,"[""winword.exe"", ""powershell.exe""]",0,0,0.0001896676357491,0,0,8.908171958588896e-05,0,4.355098432485503e-06,0.2957787620380921,0.1090461695982258,0,0,0,1.0,0,0.9384958165234684,0,none,9.510332810099746e-10,0,0,0,0,0.0,0,pass,policy,pass,1,TLS 1.3,1,0,0,0,0,0.6729959441712434,self signed,3.1108375584641603e-15,0.0112118449704722,0,1,0
1383,0.0,D82,0,4.6505547003564074e-08,0,1.6362062309025292e-14,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0064312390052757,0,0,0.1141063106147477,0,2.18961417012645e-05,0.943535269419602,5.0039510618072046e-11,0,0,0,0.5,0,1.5565118963207567e-10,0,invoice_verification,0.0170764983738913,0,0,0,0,0.0,0,pass,fail,temperror,1,TLS 1.3,0,0,0,0,0,0.0009884509169459,valid,0.0035440628972454,1.7189396447652406e-08,0,1,0
1384,1.0,D83,0,0.0031470439489596,0,1.3610353998625203e-10,0,0,0,0.187220474269816,0,0,0,0,0,0,0.6300256501911856,1.4281607744036077e-07,0,0,0,0,0.7434365125195673,0,0,4,2.9381536737173614e-98,"[""winword.exe"", ""powershell.exe""]",0,0,0.0092519384194027,0,0,0.0008251658710328,0,0.1276181656097686,0.0015564584913863,0.5890524408151785,0,0,0,0.5,0,0.0006401657351007,0,none,0.6429191780062693,0,0,0,0,0.0,0,softfail,none,temperror,1,TLS 1.2,0,0,0,0,0,5.2346874759773086e-14,valid,0.0061388078126543,1.143052643415482e-09,0,1,0
1385,1.0,D84,0,0.209752742557174,0,1.6939456558555154e-05,0,0,0,0.0002615026537871,0,0,0,0,0,0,0.1143032992885675,0.0017379407324227,0,0,0,0,0.8889257690125478,0,1,4,4.553547166100471e-75,"[""winword.exe"", ""powershell.exe"", ""regsvr32.exe""]",0,0,0.2659464642315574,0,0,4.731419480040441e-16,0,0.0252346386423376,0.0061379281957649,1.3655804274799995e-05,0,0,0,1.0,0,3.729411081032285e-09,0,none,0.0146992970135075,0,0,0,0,0.0,0,pass,policy,temperror,1,TLS 1.2,0,0,0,0,0,0.5551142209060687,valid,0.0454363860763089,0.7216397667711761,0,1,0
1386,0.0,D85,0,0.000644391213498,0,0.1591234969067029,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0739508381227999,0,0,0.0012096158909743,0,0.0088644117075751,0.010374184579493,0.0040287119251647,0,0,0,1.0,1,0.0076407226812154,0,wire_transfer,0.0051797556796453,0,0,0,0,0.0,0,fail,pass,none,1,TLS 1.0,0,0,0,0,0,0.202017715388124,valid,1.0526235687640487e-07,0.0179294085772674,0,1,0
1387,0.0,D86,0,6.026605693706491e-10,0,0.0109163094334915,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0276355519484326,0,0,0.0079127113100317,0,0.050710179406655,0.0090315201635421,0.0314406403050507,0,0,0,1.0,0,1.3105168961636908e-11,0,none,0.9594245289612168,0,0,0,0,0.0,0,pass,fail,pass,1,TLS 1.3,0,0,0,0,0,0.0219306720655822,self signed,2.7322055332355224e-15,0.1279097333341473,0,0,0
1388,0.0,D87,0,0.645352765024924,0,0.0016564008180174,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.000954187756992,0,0,0.4801710327443252,0,4.21236541714873e-06,0.0002119438488677,2.568561232170621e-05,0,0,0,1.0,0,1.5130249502064982e-05,0,none,0.4405696115574841,0,0,0,0,0.0,0,fail,pass,fail,1,TLS 1.2,0,0,0,0,0,0.0603430902913815,expired,0.0186453765803746,0.0128804733045584,0,1,0
1389,0.0,D88,0,0.0009818413335793,0,0.2280402614823236,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.000269393132181,0,0,0.000574941499847,0,0.0014512543784363,0.0659497950080315,0.0190951540191934,0,0,0,1.0,0,2.191159706039277e-06,0,none,3.0310737497427663e-05,0,0,0,0,0.0,0,fail,policy,none,1,TLS 1.3,2,0,0,0,0,0.0202472176106282,expired,0.7777422316579662,0.0089973264590809,0,1,0
1390,0.0,D89,0,2.8203706291858223e-06,0,0.0011849786949441,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,6.570237901457773e-11,0,0,0.02065904611674,0,0.4485379769151713,0.1996714497390447,0.0214565625323783,0,0,0,1.0,0,0.0048638375110474,0,gift_card_request,1.0120878518749938e-05,0,0,0,0,0.0,0,pass,policy,none,1,TLS 1.1,0,0,0,0,0,0.0001967664102731,valid,0.6388970270507506,3.605075121644081e-10,0,1,0
